TREEID,OBJECTID,ONSTREET,PARITY,CROSSSTREE,CROSSSTR_1,Location plain text,y,x,TREELOCATI,SITE,TREEPIT,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE,FID_1,COMMDIST
19695,4194,DEAN STREET,even,3 AVENUE,NEVINS STREET,"88 3 AVENUE, Brooklyn, NY",-73.8999599, 40.614211,2,2,1,1,6,TICO,Brooklyn,11217,29,302
19739,4196,DEAN STREET,even,3 AVENUE,NEVINS STREET,"280 DEAN STREET, Brooklyn, NY",-73.9830332, 40.6844607,2,1,1,1,4,ACPLCR,Brooklyn,11217,29,302
19751,4197,DEAN STREET,even,3 AVENUE,NEVINS STREET,"266 DEAN STREET, Brooklyn, NY",-73.9825443335, 40.6841572,1,1,1,1,4,UNK,Brooklyn,11217,29,302
19733,4200,DEAN STREET,even,3 AVENUE,NEVINS STREET,"280 DEAN STREET, Brooklyn, NY",-73.8999599, 40.614211,1,1,1,1,4,ACPLCR,Brooklyn,11217,29,302
19746,4201,DEAN STREET,even,3 AVENUE,NEVINS STREET,"270 DEAN STREET, Brooklyn, NY",-73.9825443335, 40.6841572,1,1,1,1,3,CR,Brooklyn,11217,29,302
19777,4206,DEAN STREET,even,3 AVENUE,NEVINS STREET,"260 DEAN STREET, Brooklyn, NY",-73.98343575, 40.6846278,1,1,1,1,17,FRPE,Brooklyn,11217,29,302
19782,4207,DEAN STREET,even,3 AVENUE,NEVINS STREET,"254 DEAN STREET, Brooklyn, NY",-73.9832353, 40.68455215,1,1,1,1,3,PYCA,Brooklyn,11217,29,302
19771,4208,DEAN STREET,even,3 AVENUE,NEVINS STREET,"264 DEAN STREET, Brooklyn, NY",-73.9829029, 40.68440955,1,1,1,1,4,GLTR,Brooklyn,11217,29,302
19929,4255,DEAN STREET,odd,3 AVENUE,4 AVENUE,"365 DEAN STREET, Brooklyn, NY",-73.9794412118, 40.68340915,1,1,1,1,17,PLAC,Brooklyn,11217,29,302
19930,4259,DEAN STREET,odd,3 AVENUE,4 AVENUE,"361 DEAN STREET, Brooklyn, NY",-73.98310105, 40.6844873,1,1,1,1,3,PYCA,Brooklyn,11217,29,302
6978,1241,LAFAYETTE AVENUE,even,NOSTRAND AVENUE,MARCY AVENUE,"614 LAFAYETTE AVENUE, Brooklyn, NY",-73.950383625, 40.68980975,1,1,1,2,13,AIAL,Brooklyn,11216,30,303
6982,1242,NOSTRAND AVENUE,even,GREENE AVENUE,CLIFTON PLACE,"495 GREENE AVENUE, Brooklyn, NY",-73.9795641848, 40.68346585,1,5,1,2,23,PLAC,Brooklyn,11216,30,303
6980,1244,LAFAYETTE AVENUE,even,NOSTRAND AVENUE,MARCY AVENUE,"652A LAFAYETTE AVENUE, Brooklyn, NY",-73.9513564, 40.6885125,1,1,1,2,7,ACSA2,Brooklyn,11216,30,303
6984,1245,NOSTRAND AVENUE,even,GREENE AVENUE,CLIFTON PLACE,"495 GREENE AVENUE, Brooklyn, NY",-73.94897605, 40.68995245,2,2,1,2,3,UNK,Brooklyn,11216,30,303
6986,1246,NOSTRAND AVENUE,even,GREENE AVENUE,CLIFTON PLACE,"495 GREENE AVENUE, Brooklyn, NY",-73.9513564, 40.6885125,3,2,1,2,15,ACPL,Brooklyn,11216,30,303
6988,1247,CLIFTON PLACE,even,NOSTRAND AVENUE,MARCY AVENUE,"380 CLIFTON PLACE, Brooklyn, NY",-73.9513564, 40.6885125,1,1,1,2,9,QUPA,Brooklyn,11216,30,303
6991,1248,CLIFTON PLACE,even,NOSTRAND AVENUE,MARCY AVENUE,"388 CLIFTON PLACE, Brooklyn, NY",-73.9493526, 40.6892362,1,1,1,2,9,UNK,Brooklyn,11216,30,303
6998,1250,CLIFTON PLACE,even,NOSTRAND AVENUE,MARCY AVENUE,"396 CLIFTON PLACE, Brooklyn, NY",-73.9486182, 40.6893204,2,1,1,7,0,,Brooklyn,11216,30,303
6993,1254,CLIFTON PLACE,even,NOSTRAND AVENUE,MARCY AVENUE,"388 CLIFTON PLACE, Brooklyn, NY",-73.9489406, 40.6892833,2,1,1,6,0,,Brooklyn,11216,30,303
6996,1255,CLIFTON PLACE,even,NOSTRAND AVENUE,MARCY AVENUE,"396 CLIFTON PLACE, Brooklyn, NY",-73.9486182, 40.6893204,1,1,1,2,6,UNK,Brooklyn,11216,30,303
7000,1259,CLIFTON PLACE,even,NOSTRAND AVENUE,MARCY AVENUE,"396 CLIFTON PLACE, Brooklyn, NY",-73.9489406, 40.6892833,3,5,1,3,10,UNK,Brooklyn,11216,30,303
15939,3339,KENT AVENUE,odd,MYRTLE AVENUE,PARK AVENUE,"821 KENT AVENUE, Brooklyn, NY",-73.9486182, 40.6893204,1,1,1,1,3,GLTR,Brooklyn,11205,30,303
